음식명,코멘트,땅콩,우유,달걀,갑각류,밀가루,복숭아,비건,아침,점심,저녁,비,눈,더운 날,추운 날,매운
계란국,담백한,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
떡국_만두국,든든한,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
무국,시원한,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
미역국,담백한,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
북엇국,시원한,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
시래기국,토속적인,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
육개장,든든한,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
콩나물국,해장에 좋은,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
감자전,고소한,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
계란말이,부드러운,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
김치전,매콤짭짤한,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
동그랑땡,담백고소한,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
생선전,담백파삭,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
파전,바삭바삭,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
호박전,촉촉한,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
갈치조림,매콤칼칼,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
감자조림,포슬포슬,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
고등어조림,오메가3가 풍부한,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
꽁치조림,밥도둑,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
두부조림,건강에 좋은,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
땅콩조림,고소한,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
메추리알장조림,기본 밑반찬,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
연근조림,아삭아삭,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
우엉조림,아삭아삭,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
